ID,EBI_sum,EDI_total,ASC_Unity,ASC_Spiritual,ASC_Bliss,ASC_Insight,ASC_Disembodiment,ASC_Imp Contr Cogn,ASC_Anxiety,ASC_Complex im,ASC_Elem im,ASC_Aud-Vis,ASC_Changed Meaning,CEQ_Fear,CEQ_Grief,CEQ_Physical distress,CEQ_Insanity,CEQ_Isolation,CEQ_Death,CEQ_Paranoia,CEQ_Total,MEQ_Mystical,MEQ_PosiMood,MEQ_SpaceTime,MEQ_Ineffability,MEQ_Total
lMepAr69dZ0a5XGLnc359Qs34dVDOxJx',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lTmgYQFNRzCChciqVL0uaB3ZKyigHQxJ',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lXxmEUEY7FhRSsZuqOhxP9XPmQLTTIgQ',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lghK5cZnUaQXqDLbYduAPnEP8TREUfEn',586,46,65.6,99.66666666666667,42.666666666666664,63.333333333333336,3.6666666666666665,42.57142857142857,44.333333333333336,89.66666666666667,60.666666666666664,45.666666666666664,17.666666666666668,88,100,68,93.33333333333333,93.33333333333333,70,30,82.3076923076923,89.33333333333333,83.33333333333333,63.333333333333336,100,84
lh93MJLaw2S1RsIpLIadlS4TYUmKkMVE',206,83.125,84,69,100,68,60,27,4.833333333333333,100,100,100,86,36,10,40,26.666666666666668,20,20,10,24.615384615384617,81.33333333333333,76.66666666666667,66.66666666666667,86.66666666666667,78
lpQquxxwf9Shu6GaSKPjMsr4OGj80JfD',237,91.125,83.8,46.666666666666664,96.66666666666667,16,43,0,2.5,29.666666666666668,81,51,20.333333333333332,0,36.666666666666664,36,20,0,40,0,20.76923076923077,80,80,50,73.33333333333333,73.33333333333333
lqUqPoL35bR5nBQqFB1LVkrxAD4eFEGV',333,2.625,42.2,23,30.333333333333332,24,17,16.571428571428573,25.333333333333332,10,66.66666666666667,43,19,44,36.666666666666664,52,73.33333333333333,20,20,20,40.76923076923077,12,70,50,100,40
m3Je095nSb2YnWDKY4PwiEdFAJL27EIP',500,48,27.2,65.33333333333333,96,10.333333333333334,0,0,1.3333333333333333,12.666666666666666,59.333333333333336,60.333333333333336,7,0,0,16,0,0,0,30,5.384615384615385,68,63.333333333333336,16.666666666666668,40,54
mKNHEIPcH6aUyDGrz0LfzjJw0HayBYTF',456,72.5,67.6,63.666666666666664,79.33333333333333,66.33333333333333,17,0,0,0,84,23.666666666666668,0,0,0,0,0,0,0,0,0,94.66666666666667,80,60,73.33333333333333,82.66666666666667
mMcOhDabPWrnfHBFMeA2V9OgAc9JVxan',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mNeu6ZFAqzBD8iwxQXmtdRtwGUjvLduu',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mS9DIUAFt5lDri13TWZneNH5U4dzfpJw',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mWlJQxCA6gGoXHwSH4Ie4bkvDFTwICr0',90,10,18,28.333333333333332,31.666666666666668,10,16.666666666666668,15,0,20,66.66666666666667,73.33333333333333,26.666666666666668,8,6.666666666666667,8,0,0,0,0,4.615384615384615,28,73.33333333333333,30,73.33333333333333,42
mXMCQr2iNCUfyBSFVmrJbmDeWCHw06wu',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mkVoRBpbeh0log6J51ePuFfZXRx8vI4u',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mzRogPCRrDyttdIIhUTFk4PCQFmpX2xN',377,42.125,39.4,60.666666666666664,98.66666666666667,58.333333333333336,0,3,3.8333333333333335,42,98,33,90.66666666666667,8,13.333333333333334,16,0,0,0,0,7.6923076923076925,60,86.66666666666667,36.666666666666664,80,62.666666666666664
n1YZjDtljwdZHobxRqun7V7LU4vsniQN',0,0,0,0,0,0,10.333333333333334,5.714285714285714,0,0,0,0,0,0,30,0,6.666666666666667,20,0,0,10,0,0,10,0,2
n3miPDepY75LX4EnOFWyry5Lw7MlYu0i',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
n5No0nIfrLGEv9q0aPN8CPmiO77nTCEC',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
n6q9u7cGrJyaJag12yXVq8O8QVG8KWDe',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nCDeTioHMeCbcoy0JCv9mTvsmQtl4COw',482,14.375,21.6,25,50,76.66666666666667,50,32.142857142857146,4.666666666666667,80,83.33333333333333,93.33333333333333,25,28,16.666666666666668,32,0,0,0,0,15.384615384615385,18.666666666666668,63.333333333333336,53.333333333333336,86.66666666666667,41.333333333333336
nEfXl2jxboQ5j8UG08dTv8036LoLA9hH',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
